Node,CropType,BloodSugar,Production,WaterUsage,Affordability
0,Millet,0.9480211734771729,0.11264121532440186,0.0607752799987793,0.7736725807189941
1,Rice,0.5427553653717041,0.3359542489051819,0.7254882454872131,0.3861491084098816
2,Rice,0.345548152923584,0.9741092324256897,0.11352235078811646,0.455693781375885
3,Millet,0.6302063465118408,0.08390486240386963,0.42898476123809814,0.24907279014587402
4,Millet,0.7853538990020752,0.12546491622924805,0.26959651708602905,0.5991341471672058
5,Millet,0.3980412483215332,0.7010320425033569,0.1836087703704834,0.3405848741531372
6,Rice,0.9326758980751038,0.23543357849121094,0.022239863872528076,0.7049228549003601
7,Rice,0.5577580332756042,0.08898210525512695,0.6175743937492371,0.34654510021209717
8,Rice,0.9254785180091858,0.2835361361503601,0.36559873819351196,0.8940344452857971
9,Millet,0.0819351077079773,0.9931429624557495,0.02492624521255493,0.07976585626602173
0,Millet,0.2298591136932373,0.03775817155838013,0.013469576835632324,0.7258760333061218
1,Millet,0.7786720991134644,0.8327754139900208,0.8150510787963867,0.06558984518051147
2,Millet,0.5818188786506653,0.7584937214851379,0.3952636122703552,0.6962847709655762
3,Rice,0.956901490688324,0.8189824223518372,0.8390392661094666,0.6429008841514587
4,Rice,0.856335461139679,0.039135634899139404,0.35107332468032837,0.3003007769584656
5,Rice,0.2930164933204651,0.7774211764335632,0.2564029097557068,0.9699738621711731
6,Millet,0.7062419056892395,0.0838126540184021,0.980918288230896,0.7295153737068176
7,Rice,0.16245293617248535,0.5955712795257568,0.6668635010719299,0.28665757179260254
8,Rice,0.8302112817764282,0.43547558784484863,0.4244168996810913,0.2129746675491333
9,Millet,0.2760462760925293,0.1112944483757019,0.11918145418167114,0.747102677822113
0,Millet,0.5910220146179199,0.9035677313804626,0.32451415061950684,0.9866957068443298
1,Rice,0.3155289888381958,0.03112351894378662,0.9372488856315613,0.07665872573852539
2,Rice,0.1513867974281311,0.08051568269729614,0.5103015303611755,0.19840335845947266
3,Millet,0.0927765965461731,0.33456921577453613,0.5501251220703125,0.25411027669906616
4,Rice,0.46425336599349976,0.14001184701919556,0.5577600598335266,0.17105495929718018
5,Millet,0.4221090078353882,0.07313668727874756,0.22801315784454346,0.7795370817184448
6,Rice,0.8445771336555481,0.02307671308517456,0.29037797451019287,0.9033023118972778
7,Rice,0.2574952244758606,0.2865380048751831,0.3808659315109253,0.0613633394241333
8,Rice,0.23572462797164917,0.2668766379356384,0.8197623491287231,0.2336275577545166
9,Rice,0.5870832204818726,0.8885884284973145,0.9763396978378296,0.45608586072921753
